,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2022-04-22 00:00:00+00:00,5000000.00,0.00,5000000.00,USD,SIM-001,MARGIN,USD,[],True,{}
2022-05-13 00:00:00+00:00,5000000.00,0.00,5000000.00,USD,SIM-001,MARGIN,USD,[],False,{}
2022-05-13 00:00:00+00:00,5000000.00,77500.00,4922500.00,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '77500.00', 'currency': 'USD', 'instrument_id': 'AOSL.SIM'}]",False,{}
2022-05-13 00:00:00+00:00,5000000.00,96700.00,4903300.00,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '77500.00', 'currency': 'USD', 'instrument_id': 'AOSL.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '19200.00', 'currency': 'USD', 'instrument_id': 'DVAX.SIM'}]",False,{}
2022-05-17 00:00:00+00:00,5036600.00,137540.00,4899060.00,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '77500.00', 'currency': 'USD', 'instrument_id': 'AOSL.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '19200.00', 'currency': 'USD', 'instrument_id': 'DVAX.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '40840.00', 'currency': 'USD', 'instrument_id': 'IRT.SIM'}]",False,{}
2022-05-17 00:00:00+00:00,5039200.00,60040.00,4979160.00,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '19200.00', 'currency': 'USD', 'instrument_id': 'DVAX.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '40840.00', 'currency': 'USD', 'instrument_id': 'IRT.SIM'}]",False,{}
2022-05-19 00:00:00+00:00,5032400.00,40840.00,4991560.00,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '40840.00', 'currency': 'USD', 'instrument_id': 'IRT.SIM'}]",False,{}
2022-06-14 00:00:00+00:00,5032400.00,0.00,5032400.00,USD,SIM-001,MARGIN,USD,[],False,{}
2022-06-15 00:00:00+00:00,5010200.00,53380.00,4956820.00,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '53380.00', 'currency': 'USD', 'instrument_id': 'EYE.SIM'}]",False,{}
2022-06-29 00:00:00+00:00,5010200.00,0.00,5010200.00,USD,SIM-001,MARGIN,USD,[],False,{}
2022-06-29 00:00:00+00:00,5010200.00,47500.00,4962700.00,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '47500.00', 'currency': 'USD', 'instrument_id': 'EHAB.SIM'}]",False,{}
2022-07-01 00:00:00+00:00,5030400.00,84140.00,4946260.00,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '47500.00', 'currency': 'USD', 'instrument_id': 'EHAB.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}]",False,{}
2022-07-19 00:00:00+00:00,5030400.00,36640.00,4993760.00,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}]",False,{}
2022-07-21 00:00:00+00:00,5031200.00,56640.00,4974560.00,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '20000.00', 'currency': 'USD', 'instrument_id': 'SHO.SIM'}]",False,{}
2022-07-22 00:00:00+00:00,5031200.00,36640.00,4994560.00,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}]",False,{}
2022-07-26 00:00:00+00:00,5064341.90,136518.24,4927823.66,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '99878.24', 'currency': 'USD', 'instrument_id': 'NOVT.SIM'}]",False,{}
2022-08-05 00:00:00+00:00,5064341.90,36640.00,5027701.90,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}]",False,{}
2022-08-05 00:00:00+00:00,5064341.90,102380.00,4961961.90,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '65740.00', 'currency': 'USD', 'instrument_id': 'CELH.SIM'}]",False,{}
