client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20220513-000000-001-000-1,BACKTESTER-001,DynamicEventStrategy-000,AOSL.SIM,SIM-9-001,AOSL.SIM-DynamicEventStrategy-000,SIM-001,SIM-9-017,MARKET,BUY,20000,GTC,False,False,20000,TAKER,38.75,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8a1cb13c-a761-4f56-8db7-3f3cf14855cb,2022-05-13 00:00:00+00:00,2022-05-13 00:00:00+00:00
O-20220513-000000-001-000-2,BACKTESTER-001,DynamicEventStrategy-000,DVAX.SIM,SIM-46-001,DVAX.SIM-DynamicEventStrategy-000,SIM-001,SIM-46-017,MARKET,BUY,20000,GTC,False,False,20000,TAKER,9.6,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,61115ca9-4e13-47a5-b06e-9c5fd22bd312,2022-05-13 00:00:00+00:00,2022-05-13 00:00:00+00:00
O-20220513-000000-001-000-3,BACKTESTER-001,DynamicEventStrategy-000,IRT.SIM,SIM-67-001,IRT.SIM-DynamicEventStrategy-000,SIM-001,SIM-67-017,MARKET,BUY,20000,GTC,False,False,20000,TAKER,20.42,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,037fbf12-4e5b-4e67-8d92-ab0377001ce8,2022-05-13 00:00:00+00:00,2022-05-13 00:00:00+00:00
O-20220517-000000-001-000-4,BACKTESTER-001,DynamicEventStrategy-000,AOSL.SIM,SIM-9-002,AOSL.SIM-DynamicEventStrategy-000,SIM-001,SIM-9-020,MARKET,SELL,20000,GTC,True,False,20000,TAKER,40.58,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,99dc02eb-bc64-4aaa-a454-5d72d4cf0fa4,2022-05-17 00:00:00+00:00,2022-05-17 00:00:00+00:00
O-20220517-000000-001-000-5,BACKTESTER-001,DynamicEventStrategy-000,DVAX.SIM,SIM-46-002,DVAX.SIM-DynamicEventStrategy-000,SIM-001,SIM-46-020,MARKET,SELL,20000,GTC,True,False,20000,TAKER,9.73,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,cfa41889-4047-4d93-8bf2-4bdfaf94dcbe,2022-05-17 00:00:00+00:00,2022-05-17 00:00:00+00:00
O-20220519-000000-001-000-6,BACKTESTER-001,DynamicEventStrategy-000,IRT.SIM,SIM-67-002,IRT.SIM-DynamicEventStrategy-000,SIM-001,SIM-67-022,MARKET,SELL,20000,GTC,True,False,20000,TAKER,20.08,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,773ea89e-5e3b-44bd-9f1f-d30eba0b1008,2022-05-19 00:00:00+00:00,2022-05-19 00:00:00+00:00
O-20220614-000000-001-000-7,BACKTESTER-001,DynamicEventStrategy-000,EYE.SIM,SIM-52-001,EYE.SIM-DynamicEventStrategy-000,SIM-001,SIM-52-016,MARKET,SELL,20000,GTC,False,False,20000,TAKER,26.69,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2611def0-4fc6-403c-bfda-a39f3d514f3a,2022-06-14 00:00:00+00:00,2022-06-14 00:00:00+00:00
O-20220615-000000-001-000-8,BACKTESTER-001,DynamicEventStrategy-000,EYE.SIM,SIM-52-002,EYE.SIM-DynamicEventStrategy-000,SIM-001,SIM-52-018,MARKET,BUY,20000,GTC,True,False,20000,TAKER,27.8,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1f31d71f-5b0b-49e1-80bc-4721642f4a2b,2022-06-15 00:00:00+00:00,2022-06-15 00:00:00+00:00
O-20220629-000000-001-000-10,BACKTESTER-001,DynamicEventStrategy-000,SNCY.SIM,SIM-111-001,SNCY.SIM-DynamicEventStrategy-000,SIM-001,SIM-111-016,MARKET,SELL,20000,GTC,False,False,20000,TAKER,18.32,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,db81d2ae-72d5-43fa-9970-128d81d26c56,2022-06-29 00:00:00+00:00,2022-06-29 00:00:00+00:00
O-20220629-000000-001-000-9,BACKTESTER-001,DynamicEventStrategy-000,EHAB.SIM,SIM-48-001,EHAB.SIM-DynamicEventStrategy-000,SIM-001,SIM-48-006,MARKET,SELL,20000,GTC,False,False,20000,TAKER,23.75,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8fd95f73-8a73-42da-a768-ff5aee75055d,2022-06-29 00:00:00+00:00,2022-06-29 00:00:00+00:00
O-20220701-000000-001-000-11,BACKTESTER-001,DynamicEventStrategy-000,EHAB.SIM,SIM-48-002,EHAB.SIM-DynamicEventStrategy-000,SIM-001,SIM-48-009,MARKET,BUY,20000,GTC,True,False,20000,TAKER,22.74,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7f9876f8-7f2d-4e95-95b0-361b5cb2ba4d,2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00
O-20220719-000000-001-000-12,BACKTESTER-001,DynamicEventStrategy-000,SHO.SIM,SIM-109-001,SHO.SIM-DynamicEventStrategy-000,SIM-001,SIM-109-016,MARKET,BUY,20000,GTC,False,False,20000,TAKER,10.0,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d299275e-f035-43a5-987f-d69f35fa990c,2022-07-19 00:00:00+00:00,2022-07-19 00:00:00+00:00
O-20220721-000000-001-000-13,BACKTESTER-001,DynamicEventStrategy-000,SHO.SIM,SIM-109-002,SHO.SIM-DynamicEventStrategy-000,SIM-001,SIM-109-019,MARKET,SELL,20000,GTC,True,False,20000,TAKER,10.04,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,707bdebb-42ed-41dd-96ae-face7ffc08b4,2022-07-21 00:00:00+00:00,2022-07-21 00:00:00+00:00
O-20220722-000000-001-000-14,BACKTESTER-001,DynamicEventStrategy-000,NOVT.SIM,SIM-85-001,NOVT.SIM-DynamicEventStrategy-000,SIM-001,SIM-85-016,MARKET,SELL,6655,GTC,False,False,6655,TAKER,150.08,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,80c944ef-871f-47c3-83dd-695783a970c9,2022-07-22 00:00:00+00:00,2022-07-22 00:00:00+00:00
O-20220726-000000-001-000-15,BACKTESTER-001,DynamicEventStrategy-000,NOVT.SIM,SIM-85-002,NOVT.SIM-DynamicEventStrategy-000,SIM-001,SIM-85-019,MARKET,BUY,6655,GTC,True,False,6655,TAKER,145.1,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e10794f8-7177-48cf-8882-656cd36e2f37,2022-07-26 00:00:00+00:00,2022-07-26 00:00:00+00:00
