position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
AOSL.SIM-DynamicEventStrategy-000,BACKTESTER-001,DynamicEventStrategy-000,AOSL.SIM,SIM-001,O-20220513-000000-001-000-1,O-20220517-000000-001-000-4,BUY,FLAT,0,20000,1652400000000000000,2022-05-13 00:00:00+00:00,1652745600000000000,2022-05-17 00:00:00+00:00,345600000000000,38.75,40.58,['0.00 USD'],0.04723,36600.00 USD
DVAX.SIM-DynamicEventStrategy-000,BACKTESTER-001,DynamicEventStrategy-000,DVAX.SIM,SIM-001,O-20220513-000000-001-000-2,O-20220517-000000-001-000-5,BUY,FLAT,0,20000,1652400000000000000,2022-05-13 00:00:00+00:00,1652745600000000000,2022-05-17 00:00:00+00:00,345600000000000,9.6,9.73,['0.00 USD'],0.01354,2600.00 USD
IRT.SIM-DynamicEventStrategy-000,BACKTESTER-001,DynamicEventStrategy-000,IRT.SIM,SIM-001,O-20220513-000000-001-000-3,O-20220519-000000-001-000-6,BUY,FLAT,0,20000,1652400000000000000,2022-05-13 00:00:00+00:00,1652918400000000000,2022-05-19 00:00:00+00:00,518400000000000,20.42,20.08,['0.00 USD'],-0.01665,-6800.00 USD
EYE.SIM-DynamicEventStrategy-000,BACKTESTER-001,DynamicEventStrategy-000,EYE.SIM,SIM-001,O-20220614-000000-001-000-7,O-20220615-000000-001-000-8,SELL,FLAT,0,20000,1655164800000000000,2022-06-14 00:00:00+00:00,1655251200000000000,2022-06-15 00:00:00+00:00,86400000000000,26.69,27.8,['0.00 USD'],-0.04159,-22200.00 USD
EHAB.SIM-DynamicEventStrategy-000,BACKTESTER-001,DynamicEventStrategy-000,EHAB.SIM,SIM-001,O-20220629-000000-001-000-9,O-20220701-000000-001-000-11,SELL,FLAT,0,20000,1656460800000000000,2022-06-29 00:00:00+00:00,1656633600000000000,2022-07-01 00:00:00+00:00,172800000000000,23.75,22.74,['0.00 USD'],0.04253,20200.00 USD
SNCY.SIM-DynamicEventStrategy-000,BACKTESTER-001,DynamicEventStrategy-000,SNCY.SIM,SIM-001,O-20220629-000000-001-000-10,O-20240802-000000-001-000-167,SELL,FLAT,0,20000,1656460800000000000,2022-06-29 00:00:00+00:00,1722556800000000000,2024-08-02 00:00:00+00:00,66096000000000000,18.32,18.84,['0.00 USD'],-0.02838,-10400.00 USD
SHO.SIM-DynamicEventStrategy-000,BACKTESTER-001,DynamicEventStrategy-000,SHO.SIM,SIM-001,O-20220719-000000-001-000-12,O-20220721-000000-001-000-13,BUY,FLAT,0,20000,1658188800000000000,2022-07-19 00:00:00+00:00,1658361600000000000,2022-07-21 00:00:00+00:00,172800000000000,10.0,10.04,['0.00 USD'],0.004,800.00 USD
NOVT.SIM-DynamicEventStrategy-000,BACKTESTER-001,DynamicEventStrategy-000,NOVT.SIM,SIM-001,O-20220722-000000-001-000-14,O-20220726-000000-001-000-15,SELL,FLAT,0,6655,1658448000000000000,2022-07-22 00:00:00+00:00,1658793600000000000,2022-07-26 00:00:00+00:00,345600000000000,150.08,145.1,['0.00 USD'],0.03318,33141.90 USD
CELH.SIM-DynamicEventStrategy-000,BACKTESTER-001,DynamicEventStrategy-000,CELH.SIM,SIM-001,O-20220805-000000-001-000-16,O-20220809-000000-001-000-18,SELL,FLAT,0,20000,1659657600000000000,2022-08-05 00:00:00+00:00,1660003200000000000,2022-08-09 00:00:00+00:00,345600000000000,32.87,31.13,['0.00 USD'],0.05294,34800.00 USD
CLFD.SIM-DynamicEventStrategy-000,BACKTESTER-001,DynamicEventStrategy-000,CLFD.SIM,SIM-001,O-20220805-000000-001-000-17,O-20220810-000000-001-000-19,BUY,FLAT,0,8928,1659657600000000000,2022-08-05 00:00:00+00:00,1660089600000000000,2022-08-10 00:00:00+00:00,432000000000000,111.15,116.62,['0.00 USD'],0.04921,48836.16 USD
