Price,Close,High,Low,Open,Volume
Ticker,CHRD,CHRD,CHRD,CHRD,CHRD
Date,,,,,
2023-02-14,122.15300750732422,122.62263233646563,119.27550823516852,119.52312149298048,327700
2023-02-15,118.70343780517578,120.50508014816458,116.75664104948213,120.19769050101034,411800
2023-02-16,117.806884765625,120.20622560528622,117.79835086909175,118.20819939313236,261900
2023-02-17,113.69127655029297,116.6029377381094,109.93430361874547,116.33824363537141,905800
2023-02-21,110.30145263671875,113.17041818242993,109.90868495927401,112.69225942961954,615300
2023-02-22,111.56517791748047,112.34219244084859,108.721826958239,110.73693395808358,564300
2023-02-23,115.94546508789062,116.6883310033586,112.2055729077104,112.2055729077104,803700
2023-02-24,116.2784652709961,117.74710319847607,113.23019665061142,114.6219904261399,697700
2023-02-27,115.1940689086914,117.90079915553426,114.63051909571064,116.97863028761532,576900
2023-02-28,114.94644165039062,118.33626136677293,114.93790775469526,117.73856294688717,417700
2023-03-01,117.23480987548828,117.7471173120878,114.37437782961767,114.39999255000512,359900
2023-03-02,118.2594223022461,119.35236032525857,115.78323744391915,116.98716823113595,533400
2023-03-03,122.93003845214844,123.14350312779239,116.50048346406052,116.75664368060323,982800
2023-03-06,126.71060943603516,130.06718463847838,124.95283403879766,129.2368724408077,1793700
2023-03-07,126.67525482177734,128.6008605721603,124.99696085509527,126.25125710573494,752900
2023-03-08,124.65248107910156,128.68920706566695,122.30289090344876,125.80961296357106,734900
2023-03-09,122.19689178466797,127.83240419531244,122.05555919321571,124.82916075714967,662800
2023-03-10,120.16526794433594,124.5023153920234,118.59298008186217,121.85239021101596,752000
2023-03-13,117.30335998535156,120.8719200447737,113.7701263320471,116.2522208169788,1057800
2023-03-14,119.48512268066406,122.56786015488407,116.71153503788068,118.42515537048094,976700
2023-03-15,108.84127807617188,114.82128059439931,105.9705253554835,113.85846405386081,1252000
2023-03-16,110.7050552368164,110.86405103539616,105.52886691974258,105.99701934358598,1212600
2023-03-17,107.330810546875,110.51955455783586,103.39125570892773,109.3359177426254,8879100
2023-03-20,111.32335662841797,112.48932344742629,107.20714298673263,107.73712667917128,784400
2023-03-21,116.24340057373047,116.80871745798143,112.9663202046607,113.867298622073,759800
