Price,Close,High,Low,Open,Volume
Ticker,MSGS,MSGS,MSGS,MSGS,MSGS
Date,,,,,
2023-07-07,192.36000061035156,194.5800018310547,190.10000610351562,190.10000610351562,109100
2023-07-10,194.4199981689453,196.85000610351562,192.36000061035156,192.36000061035156,218000
2023-07-11,192.35000610351562,195.27999877929688,189.14999389648438,194.58999633789062,153300
2023-07-12,193.22000122070312,194.25999450683594,192.39999389648438,193.1199951171875,53500
2023-07-13,192.6199951171875,193.9499969482422,191.53799438476562,192.9600067138672,79600
2023-07-14,192.77999877929688,193.46499633789062,191.27999877929688,192.9600067138672,73200
2023-07-17,192.99000549316406,193.19000244140625,191.31500244140625,191.7899932861328,68000
2023-07-18,194.10000610351562,195.3000030517578,192.75,192.75,140300
2023-07-19,189.8000030517578,194.17999267578125,188.89500427246094,192.8300018310547,140900
2023-07-20,191.89999389648438,191.89999389648438,188.75999450683594,188.86000061035156,101900
2023-07-21,192.85000610351562,193.1750030517578,191.61000061035156,192.77000427246094,98500
2023-07-24,190.8300018310547,192.4499969482422,189.73800659179688,191.99000549316406,100100
2023-07-25,192.2100067138672,192.60000610351562,189.47000122070312,189.94000244140625,123700
2023-07-26,191.4199981689453,192.87600708007812,190.64999389648438,191.5800018310547,106100
2023-07-27,190.10000610351562,193.5500030517578,189.39999389648438,191.17999267578125,148000
2023-07-28,212.24000549316406,213.5399932861328,200.27999877929688,203.0,1340800
2023-07-31,212.75,215.78500366210938,210.60000610351562,212.25,4346300
2023-08-01,208.94000244140625,213.4199981689453,208.63999938964844,211.57000732421875,490400
2023-08-02,209.47000122070312,210.6999969482422,205.7449951171875,207.32000732421875,267600
2023-08-03,211.94000244140625,212.47999572753906,208.73500061035156,208.91000366210938,183200
2023-08-04,208.75999450683594,213.8300018310547,208.35000610351562,211.60000610351562,184100
