Price,Close,High,Low,Open,Volume
Ticker,PAG,PAG,PAG,PAG,PAG
Date,,,,,
2023-07-12,170.99098205566406,173.25195713228837,170.329932089835,172.49511193368448,271100
2023-07-13,169.6593017578125,172.06399153728884,169.53476649719002,170.8760166629506,120900
2023-07-14,167.53244018554688,170.26285987101497,167.1300651636358,169.2952447910761,144000
2023-07-17,168.0402374267578,168.18395222120193,164.18892652700345,166.80437205832106,155200
2023-07-18,169.8700714111328,171.09636145139672,167.94441625849893,167.94441625849893,164100
2023-07-19,172.1118927001953,172.32266268504367,169.3814872722566,169.6976422495291,360100
2023-07-20,169.00782775878906,172.4855027681849,168.28929781044283,172.4855027681849,216300
2023-07-21,162.23451232910156,169.70722827709574,160.76871209766617,169.70722827709574,436500
2023-07-24,160.70164489746094,163.53743528816096,158.65143975417993,162.21534994620578,323900
2023-07-25,158.12452697753906,160.8836726217601,157.7221518756429,159.52325738624486,418500
2023-07-26,156.141357421875,159.40827737875998,153.3917872590376,155.96891723621283,413600
2023-07-27,156.23716735839844,159.26457731343143,154.73303751835837,157.51136233222937,318300
2023-07-28,154.80967712402344,157.70296196175084,153.29597219881583,157.70296196175084,331600
2023-07-31,154.64682006835938,154.83842515087622,151.27451506564597,152.84570013193334,324800
2023-08-01,155.78689575195312,156.91737601319176,152.2900553576811,152.72117046377156,313100
2023-08-02,165.99960327148438,169.898818666649,164.78288831688613,164.78288831688613,1551900
2023-08-03,165.4918212890625,167.3408313205125,164.32301141544565,166.12411652711876,4625500
2023-08-04,160.3184051513672,166.1720299557299,160.30883001433315,164.8786847667023,794300
2023-08-07,160.76869201660156,160.91240678946784,158.5651970660925,160.69204706144563,396100
