Price,Close,High,Low,Open,Volume
Ticker,SRPT,SRPT,SRPT,SRPT,SRPT
Date,,,,,
2024-05-09,132.3000030517578,133.38999938964844,129.49000549316406,133.22000122070312,1279200
2024-05-10,131.82000732421875,132.8699951171875,129.44000244140625,132.8699951171875,735600
2024-05-13,131.6999969482422,133.5500030517578,129.77999877929688,132.25,634200
2024-05-14,132.66000366210938,134.33999633789062,130.88999938964844,133.5500030517578,1227400
2024-05-15,132.5,134.72000122070312,132.10000610351562,134.0,762800
2024-05-16,132.74000549316406,133.05999755859375,129.55999755859375,132.0399932861328,1010000
2024-05-17,131.3800048828125,133.1199951171875,129.5,132.8800048828125,849000
2024-05-20,130.8300018310547,132.14999389648438,128.75,132.14999389648438,779900
2024-05-21,129.1199951171875,131.02999877929688,127.68000030517578,130.11000061035156,748400
2024-05-22,128.3000030517578,130.94000244140625,127.66000366210938,128.92999267578125,723300
2024-05-23,127.12999725341797,129.83999633789062,125.5,128.1199951171875,847700
2024-05-24,123.45999908447266,129.0,123.30999755859375,128.0,1033800
2024-05-28,113.33000183105469,120.0,109.91000366210938,119.0199966430664,2977000
2024-05-29,116.25,117.08000183105469,112.4000015258789,113.37000274658203,1942600
2024-05-30,124.44999694824219,125.7300033569336,120.2300033569336,122.94999694824219,4369400
2024-05-31,129.86000061035156,130.80999755859375,125.4000015258789,125.4800033569336,16976000
2024-06-03,124.2300033569336,128.52999877929688,122.63999938964844,128.52999877929688,1809600
2024-06-04,119.72000122070312,124.22000122070312,118.87000274658203,123.79000091552734,1125300
