Price,Close,High,Low,Open,Volume
Ticker,UFPT,UFPT,UFPT,UFPT,UFPT
Date,,,,,
2023-05-16,149.72999572753906,152.52000427246094,148.82000732421875,148.82000732421875,52000
2023-05-17,147.63999938964844,150.25999450683594,144.8000030517578,150.25999450683594,125200
2023-05-18,152.25999450683594,152.72999572753906,148.1999969482422,148.1999969482422,58200
2023-05-19,152.75,154.19000244140625,151.19000244140625,154.0,34000
2023-05-22,155.0,155.52000427246094,153.00999450683594,153.44000244140625,38000
2023-05-23,153.75999450683594,157.9600067138672,152.3000030517578,155.27000427246094,65200
2023-05-24,153.41000366210938,156.10000610351562,149.25999450683594,153.1300048828125,57100
2023-05-25,151.6300048828125,154.97999572753906,150.11000061035156,152.88999938964844,54000
2023-05-26,155.25,155.64999389648438,151.3800048828125,151.3800048828125,50900
2023-05-30,155.47999572753906,158.14999389648438,153.27000427246094,157.6999969482422,45400
2023-05-31,154.6300048828125,156.0,152.52000427246094,155.25,93000
2023-06-01,158.4600067138672,158.6199951171875,154.60000610351562,155.41000366210938,63700
2023-06-02,159.86000061035156,160.4600067138672,156.9199981689453,159.3699951171875,92500
2023-06-05,161.47000122070312,167.85000610351562,159.69000244140625,166.72000122070312,187600
2023-06-06,162.89999389648438,165.89999389648438,160.97000122070312,161.75,144600
2023-06-07,167.97999572753906,168.97000122070312,162.99000549316406,162.99000549316406,126800
2023-06-08,168.3300018310547,171.44000244140625,165.42999267578125,167.97999572753906,105400
2023-06-09,167.30999755859375,171.35000610351562,166.1999969482422,167.86000061035156,111800
2023-06-12,172.72999572753906,173.52000427246094,168.27000427246094,168.27000427246094,160100
2023-06-13,177.61000061035156,177.89999389648438,171.7899932861328,173.24000549316406,151700
2023-06-14,183.24000549316406,183.55999755859375,177.1300048828125,177.1300048828125,202200
2023-06-15,182.02999877929688,187.6999969482422,180.63999938964844,183.08999633789062,220100
2023-06-16,186.02000427246094,187.8300018310547,178.60000610351562,183.88999938964844,1588000
2023-06-20,194.0800018310547,194.99000549316406,185.3800048828125,185.52000427246094,265400
