Price,Close,High,Low,Open,Volume
Ticker,XPER,XPER,XPER,XPER,XPER
Date,,,,,
2022-09-20,23.0,23.0,23.0,23.0,100
2022-09-21,23.0,23.0,23.0,23.0,0
2022-09-22,23.0,23.0,23.0,23.0,0
2022-09-23,23.0,23.0,23.0,23.0,0
2022-09-26,23.0,23.0,23.0,23.0,0
2022-09-27,23.0,23.0,23.0,23.0,0
2022-09-28,23.0,23.0,23.0,23.0,0
2022-09-29,23.0,23.0,23.0,23.0,0
2022-09-30,26.0,26.0,18.0,21.049999237060547,138100
2022-10-03,14.970000267028809,19.06999969482422,13.300000190734863,17.530000686645508,1140100
2022-10-04,15.420000076293945,16.969999313354492,15.0,15.0,746600
